person_ref,name,office,dc_id
person:andy-mcdonald,Andy McDonald,MP for Middlesbrough and Thornaby East,5541
person:anna-turley,Anna Turley,Member of Parliament for Redcar,4408
person:ben-houchen,Ben Houchen,Tees Valley Mayor,19734
person:chris-cooke,Chris Cooke,Mayor of Middlesbrough,52805
person:adam-brook,Cllr Adam Brook,"Chief of Staff, office of the Redcar MP",
person:alec-brown,Cllr Alec Brown,Councillor,52553
person:bill-suthers,Cllr Bill Suthers,Councillor,
person:carl-quartermain,Cllr Carl Quartermain,Councillor,
person:carrie-richardson,Cllr Carrie Richardson,Councillor,
person:christopher-massey,Cllr Christopher Massey,Councillor,
person:david-coupe,Cllr David Coupe,Councillor,
person:ian-blades,Cllr Ian Blades,Councillor,
person:jan-ryles,Cllr Jan Ryles,Councillor,
person:julia-rostron,Cllr Julia Rostron,Councillor,
person:lisa-robson,Cllr Lisa Robson,Councillor,
person:luke-henman,Cllr Luke Henman,Councillor,
person:lynn-pallister,Cllr Lynn Pallister,Councillor,
person:neil-bendelow,Cllr Neil Bendelow,Councillor,
person:nicky-walker,Cllr Nicky Walker,Councillor,
person:peter-gavigan,Cllr Peter Gavigan,Councillor,
person:philippa-storey,Cllr Philippa Storey,Deputy Mayor & Executive Member for Education and Culture,
person:steve-watson,Cllr Steve Watson,Councillor,
person:theo-furness,Cllr Theo Furness,Councillor,
person:ursula-earl,Cllr Ursula Earl,Councillor,
person:luke-myer,Luke Myer,MP for Middlesbrough South and East Cleveland,
person:matt-storey,Matt Storey,Police and Crime Commissioner for Cleveland,51793
